id,category,subcategory,name,description,base_price
aircon-2in1-large,digital-appliances,에어컨,2in1 20평형 이상,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,300000
washer-drum-small,digital-appliances,세탁기,드럼 10kg 이하,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,35000
washer-drum-large,digital-appliances,세탁기,드럼 10kg 이상,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,50000
dryer-drum-small,digital-appliances,건조기,드럼 10kg 이하,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,35000
dryer-drum-large,digital-appliances,건조기,드럼 10kg 이상,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,50000
fridge-small,digital-appliances,냉장고,양문형 소형(50~599),해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,40000
fridge-medium,digital-appliances,냉장고,양문형 중형(600~799),해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,50000
fridge-large,digital-appliances,냉장고,양문형 대형(800리터),해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,70000
airpurifier-small,digital-appliances,공기청정기,소형 공기청정기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,35000
airpurifier-medium,digital-appliances,공기청정기,중형 공기청정기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,45000
airpurifier-large,digital-appliances,공기청정기,대형 공기청정기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,60000
styler-medium,digital-appliances,의류관리기,중형 의류관리기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,50000
styler-large,digital-appliances,의류관리기,대형 의류관리기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,70000
vacuum-wired,digital-appliances,청소기,유선 청소기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,20000
vacuum-wireless,digital-appliances,청소기,무선 청소기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,20000
microwave-small,kitchen,전자레인지,전자레인지 20L 미만,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,25000
microwave-large,kitchen,전자레인지,전자레인지 20L 이상,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,30000
water-purifier-top,kitchen,정수기,상단부 정수기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,25000
water-purifier-bottom,kitchen,정수기,하단부 정수기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,25000
dining-table-2,kitchen,주방 테이블,2인용 주방 테이블,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
dining-table-4,kitchen,주방 테이블,4인용 주방 테이블,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
dining-table-6,kitchen,주방 테이블,6인용 이상 주방 테이블,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
dining-chair-2,kitchen,식탁 의자,식탁 의자 2개 이하,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
dining-chair-more,kitchen,식탁 의자,식탁 의자 2개 이상,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
dishwasher-small,kitchen,식기세척기,소형 식기세척기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,35000
dishwasher-medium,kitchen,식기세척기,중형 식기세척기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,45000
dishwasher-large,kitchen,식기세척기,대형 식기세척기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,60000
foodwaste-medium,kitchen,음식물처리기,중형 음식물처리기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,35000
foodwaste-large,kitchen,음식물처리기,대형 음식물처리기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,50000
gas-2,kitchen,가스레인지,2구 가스레인지,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
gas-3,kitchen,가스레인지,3구 가스레인지,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
gas-4plus,kitchen,가스레인지,4구 이상 가스레인지,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
bike-kids,exercise-transport,자전거,어린이용 자전거,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,25000
bike-adult,exercise-transport,자전거,성인용 자전거,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,25000
bike-special,exercise-transport,자전거,성인 특수용 자전거,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,40000
kickboard-kids,exercise-transport,킥보드,어린이용 킥보드,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,25000
kickboard-adult,exercise-transport,킥보드,성인용 전동 킥보드,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,35000
scooter-adult,exercise-transport,스쿠터,성인용 스쿠터,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,50000
evehicle-kids,exercise-transport,전동차,어린이용 전동차,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,40000
exercise-dumbbell,etc,운동용품,덤벨,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
exercise-barbell,etc,운동용품,바벨,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
exercise-etc,etc,운동용품,기타 운동용품,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
plant-small,etc,화분,소형 화분,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
plant-medium,etc,화분,중형 화분,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
plant-large,etc,화분,대형 화분,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
massage-small,etc,안마의자,소형 안마의자,기본/프리미엄,90000
massage-medium,etc,안마의자,중형 안마의자,기본/프리미엄,120000
massage-large,etc,안마의자,대형 안마의자,기본/프리미엄,150000
cattower-small,etc,캣타워,소형 캣타워,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
cattower-medium,etc,캣타워,중형 캣타워,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
cattower-large,etc,캣타워,대형 캣타워,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
stroller-baby,etc,유모차,유아용 유모차,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,35000
stroller-trailer,etc,유모차,유아-트레일러형 유모차,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,45000
dryer-small,etc,빨래 건조대,소형 빨래 건조대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
dryer-medium,etc,빨래 건조대,중형 빨래 건조대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
dryer-large,etc,빨래 건조대,대형 빨래 건조대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
